,,,MIN,MAX,AVG
sort1_ w: 2 o: 1000 n: 40 ,1932,,,,
sort1_ w: 2 o: 1200 n: 40 ,1926,,,,
sort1_ w: 2 o: 1400 n: 40 ,1924,,,,
sort1_ w: 2 o: 1600 n: 40 ,1933,,,,
sort1_ w: 2 o: 1800 n: 40 ,1926,,,,
sort1_ w: 2 o: 2000 n: 40 ,1911,,,,
,,,,,
sort1_ w: 5 o: 0 n: 40 ,4407,,4378,4419,4399.3
sort1_ w: 5 o: 200 n: 40 ,4408,,,,
sort1_ w: 5 o: 400 n: 40 ,4401,,,,
sort1_ w: 5 o: 800 n: 40 ,4387,,,,
sort1_ w: 5 o: 1000 n: 40 ,4378,,,,
sort1_ w: 5 o: 1200 n: 40 ,4404,,,,
sort1_ w: 5 o: 1400 n: 40 ,4394,,,,
sort1_ w: 5 o: 1600 n: 40 ,4399,,,,
sort1_ w: 5 o: 1800 n: 40 ,4396,,,,
sort1_ w: 5 o: 2000 n: 40 ,4419,,,,
,,,,,
,,,,,
sort1_ w: 1 o: 0 n: 50 ,1783,,1689,1836,1791.3
sort1_ w: 1 o: 200 n: 50 ,1801,,,,
sort1_ w: 1 o: 400 n: 50 ,1825,,,,
sort1_ w: 1 o: 800 n: 50 ,1786,,,,
sort1_ w: 1 o: 1000 n: 50 ,1836,,,,
sort1_ w: 1 o: 1200 n: 50 ,1812,,,,
sort1_ w: 1 o: 1400 n: 50 ,1818,,,,
sort1_ w: 1 o: 1600 n: 50 ,1689,,,,
sort1_ w: 1 o: 1800 n: 50 ,1763,,,,
sort1_ w: 1 o: 2000 n: 50 ,1800,,,,
,,,,,
sort1_ w: 2 o: 0 n: 50 ,3022,,2995,3023,3010.9
sort1_ w: 2 o: 200 n: 50 ,2995,,,,
sort1_ w: 2 o: 400 n: 50 ,3023,,,,
sort1_ w: 2 o: 800 n: 50 ,3011,,,,
sort1_ w: 2 o: 1000 n: 50 ,3015,,,,
sort1_ w: 2 o: 1200 n: 50 ,3000,,,,
sort1_ w: 2 o: 1400 n: 50 ,3018,,,,
sort1_ w: 2 o: 1600 n: 50 ,2996,,,,
sort1_ w: 2 o: 1800 n: 50 ,3006,,,,
sort1_ w: 2 o: 2000 n: 50 ,3023,,,,
,,,,,
sort1_ w: 5 o: 0 n: 50 ,6861,,6753,6880,6841.6
sort1_ w: 5 o: 200 n: 50 ,6847,,,,
sort1_ w: 5 o: 400 n: 50 ,6877,,,,
sort1_ w: 5 o: 800 n: 50 ,6873,,,,
sort1_ w: 5 o: 1000 n: 50 ,6753,,,,
sort1_ w: 5 o: 1200 n: 50 ,6831,,,,
sort1_ w: 5 o: 1400 n: 50 ,6835,,,,
sort1_ w: 5 o: 1600 n: 50 ,6880,,,,
sort1_ w: 5 o: 1800 n: 50 ,6840,,,,
sort1_ w: 5 o: 2000 n: 50 ,6819,,,,
,,,,,
,,,,,
sort2_ w: 1 o: 0 n: 10 ,51,,39,70,59.6
sort2_ w: 1 o: 200 n: 10 ,60,,,,
sort2_ w: 1 o: 400 n: 10 ,62,,,,
sort2_ w: 1 o: 800 n: 10 ,39,,,,
sort2_ w: 1 o: 1000 n: 10 ,65,,,,
sort2_ w: 1 o: 1200 n: 10 ,64,,,,
sort2_ w: 1 o: 1400 n: 10 ,65,,,,
sort2_ w: 1 o: 1600 n: 10 ,70,,,,
sort2_ w: 1 o: 1800 n: 10 ,60,,,,
sort2_ w: 1 o: 2000 n: 10 ,60,,,,
,,,,,
sort2_ w: 2 o: 0 n: 10 ,84,,55,109,96.7
sort2_ w: 2 o: 200 n: 10 ,97,,,,
sort2_ w: 2 o: 400 n: 10 ,102,,,,
sort2_ w: 2 o: 800 n: 10 ,55,,,,
sort2_ w: 2 o: 1000 n: 10 ,109,,,,
sort2_ w: 2 o: 1200 n: 10 ,106,,,,
sort2_ w: 2 o: 1400 n: 10 ,100,,,,
sort2_ w: 2 o: 1600 n: 10 ,107,,,,
sort2_ w: 2 o: 1800 n: 10 ,99,,,,
sort2_ w: 2 o: 2000 n: 10 ,108,,,,
,,,,,
sort2_ w: 5 o: 0 n: 10 ,186,,131,245,219.7
sort2_ w: 5 o: 200 n: 10 ,228,,,,
sort2_ w: 5 o: 400 n: 10 ,237,,,,
sort2_ w: 5 o: 800 n: 10 ,131,,,,
sort2_ w: 5 o: 1000 n: 10 ,245,,,,
sort2_ w: 5 o: 1200 n: 10 ,235,,,,
sort2_ w: 5 o: 1400 n: 10 ,223,,,,
sort2_ w: 5 o: 1600 n: 10 ,239,,,,
sort2_ w: 5 o: 1800 n: 10 ,233,,,,
sort2_ w: 5 o: 2000 n: 10 ,240,,,,
,,,,,
,,,,,
sort2_ w: 1 o: 0 n: 20 ,243,,243,275,259.7
sort2_ w: 1 o: 200 n: 20 ,274,,,,
sort2_ w: 1 o: 400 n: 20 ,263,,,,
sort2_ w: 1 o: 800 n: 20 ,271,,,,
sort2_ w: 1 o: 1000 n: 20 ,275,,,,
sort2_ w: 1 o: 1200 n: 20 ,254,,,,
sort2_ w: 1 o: 1400 n: 20 ,266,,,,
sort2_ w: 1 o: 1600 n: 20 ,258,,,,
sort2_ w: 1 o: 1800 n: 20 ,247,,,,
sort2_ w: 1 o: 2000 n: 20 ,246,,,,
,,,,,
sort2_ w: 2 o: 0 n: 20 ,429,,397,455,430.7
sort2_ w: 2 o: 200 n: 20 ,450,,,,
sort2_ w: 2 o: 400 n: 20 ,446,,,,
sort2_ w: 2 o: 800 n: 20 ,443,,,,
sort2_ w: 2 o: 1000 n: 20 ,455,,,,
sort2_ w: 2 o: 1200 n: 20 ,433,,,,
sort2_ w: 2 o: 1400 n: 20 ,429,,,,
sort2_ w: 2 o: 1600 n: 20 ,406,,,,
sort2_ w: 2 o: 1800 n: 20 ,419,,,,
sort2_ w: 2 o: 2000 n: 20 ,397,,,,
,,,,,
sort2_ w: 5 o: 0 n: 20 ,967,,904,1020,981.1
sort2_ w: 5 o: 200 n: 20 ,1018,,,,
sort2_ w: 5 o: 400 n: 20 ,1008,,,,
sort2_ w: 5 o: 800 n: 20 ,1019,,,,
sort2_ w: 5 o: 1000 n: 20 ,1020,,,,
sort2_ w: 5 o: 1200 n: 20 ,989,,,,
sort2_ w: 5 o: 1400 n: 20 ,987,,,,
sort2_ w: 5 o: 1600 n: 20 ,935,,,,
sort2_ w: 5 o: 1800 n: 20 ,964,,,,
sort2_ w: 5 o: 2000 n: 20 ,904,,,,
,,,,,
,,,,,
sort2_ w: 1 o: 0 n: 30 ,620,,590,625,605.3
sort2_ w: 1 o: 200 n: 30 ,594,,,,
sort2_ w: 1 o: 400 n: 30 ,598,,,,
sort2_ w: 1 o: 800 n: 30 ,620,,,,
sort2_ w: 1 o: 1000 n: 30 ,604,,,,
sort2_ w: 1 o: 1200 n: 30 ,602,,,,
sort2_ w: 1 o: 1400 n: 30 ,602,,,,
sort2_ w: 1 o: 1600 n: 30 ,625,,,,
sort2_ w: 1 o: 1800 n: 30 ,590,,,,
sort2_ w: 1 o: 2000 n: 30 ,598,,,,
,,,,,
sort2_ w: 2 o: 0 n: 30 ,1023,,992,1030,1011.3
sort2_ w: 2 o: 200 n: 30 ,1008,,,,
sort2_ w: 2 o: 400 n: 30 ,992,,,,
sort2_ w: 2 o: 800 n: 30 ,1023,,,,
sort2_ w: 2 o: 1000 n: 30 ,993,,,,
sort2_ w: 2 o: 1200 n: 30 ,1030,,,,
sort2_ w: 2 o: 1400 n: 30 ,998,,,,
sort2_ w: 2 o: 1600 n: 30 ,1029,,,,
sort2_ w: 2 o: 1800 n: 30 ,1002,,,,
sort2_ w: 2 o: 2000 n: 30 ,1015,,,,
,,,,,
sort2_ w: 5 o: 0 n: 30 ,2306,,2247,2339,2293.7
sort2_ w: 5 o: 200 n: 30 ,2247,,,,
sort2_ w: 5 o: 400 n: 30 ,2271,,,,
sort2_ w: 5 o: 800 n: 30 ,2328,,,,
sort2_ w: 5 o: 1000 n: 30 ,2279,,,,
sort2_ w: 5 o: 1200 n: 30 ,2326,,,,
sort2_ w: 5 o: 1400 n: 30 ,2291,,,,
sort2_ w: 5 o: 1600 n: 30 ,2339,,,,
sort2_ w: 5 o: 1800 n: 30 ,2253,,,,
sort2_ w: 5 o: 2000 n: 30 ,2297,,,,
,,,,,
,,,,,
sort2_ w: 1 o: 0 n: 40 ,1113,,961,1113,1065.3
sort2_ w: 1 o: 200 n: 40 ,1065,,,,
sort2_ w: 1 o: 400 n: 40 ,1108,,,,
sort2_ w: 1 o: 800 n: 40 ,1062,,,,
sort2_ w: 1 o: 1000 n: 40 ,961,,,,
sort2_ w: 1 o: 1200 n: 40 ,1040,,,,
sort2_ w: 1 o: 1400 n: 40 ,1085,,,,
